award	Which awards did Blade Runner receive 
award	What awards did Frozen receive? 
award	Which awards did Memento win? 
award	When did the awarded actress Katharine Hepburn die? 
award	Which awards did The Platform win? 
award	 Which awards did the movie "The Hunger Games"(2012) recieve? 
award	 Who was awarded for the 'MTV Movie Award for Hest Villain' in 2018? 
award	When did Leonardo DiCaprio win his first award? 
award	What was the first movie that won the most awards? 
award	What awards did Inglourious Basterds received? 
award	What awards did The Godfather receive? 
award	Which awards did Inception receive? 
award	Which awards did Parasite receive at the 92nd Academy Awards? 
award	How many awards did the movie Whiplash receive? 
award	Which awards did actress Anne Hathaway receive? 
award	What award did wolf of Wallstreet receive? 
award	What awards did the actor Daniel Craig win? 
award	What awards has George Lucas won? 
award	What awards has Johnny Depp received? 
award	Who holds the record of most awards won? 
award	Who directed the movie that won the "Best Actress" award at 91st Acadeny Awards in 2018? 
award	Which awards did the movie 'Uncut Gems' win? 
award	When was the academy awards Oscars organised for the first time? 
award	What awards did the movie "Joker" receive? 
birthdate	When is George Clooney born? 
birthdate	When was Al Pacino born? 
birthdate	When was Steven Spielberg born? 
birthdate	When was Robert Langdon born? 
birthdate	When was Harrison Ford born? 
birthdate	When was Tom Hanks born? 
birthdate	When was Tom Hanks born? 
birthdate	When was Leonardo DiCaprio born? 
birthdate	When was the director of Coming to America born? 
birthdate	When was the Spanish film director Eduardo Casanova born? 
birthdate	 When was Hans Zimmer born? 
birthdate	When was Alfred Hitchcock born? 
birthdate	When was Audrey Hepburn born? 
birthdate	When was Quentin Tarantino born? 
birthdate	When was Jason Statham born? 
birthdate	When was Ridley Scott born? 
birthdate	When was Nicolas Cage born? 
birthdate	When was Terence Hill born? 
birthdate	When was the youngest actress of Mard born? 
birthdate	When was actrice Jennifer Lawrence born? 
birthdate	When was David Lynch born? 
birthdate	When was Christian Bale born? 
birthdate	When was James Cameron born? 
birthdate	When was Leonardo DiCaprio born? 
birthdate	When was Anne Hathaway born? 
birthdate	When was Adurey Hepburn born? 
birthdate	When was Leonardo di caprio born? 
birthdate	When was Brad Pitt born? 
birthplace	Where was Leonardo DiCaprio born? 
birthplace	Where did the film director Martin Scorsese was born? 
birthplace	Where was Mark Ruffalo born? 
birthplace	Where was Anne Hathaway born? 
birthplace	Where was Gaspar Noé born? 
birthplace	Where was Morgan Freeman born? 
birthplace	Where was Meryl Streep born? 
birthplace	Where was Idris Elba born? 
birthplace	Where was Roger Federer born? 
birthplace	Where was Christopher Nolan born? 
composer	Who composed the music for Inception 
composer	Who created the music for Interstellar? 
composer	Who composed the music for Avatar? 
composer	Who performed the music on Interstallar? 
composer	Which famous composer created music for Inception? 
composer	Who composed the music for the 2001 film Amelie? 
composer	Who composed the music for The Lord of the Rings: The Fellowship of the Ring? 
composer	Who was a music composer in the movie "Interstellar"? 
composer	Who composed the music Pirates of the Caribbean? 
composer	Who composed the music for the Star Wars Trilogy? 
composer	Who composed the music for Slumdog Millionaire? 
composer	Who composed the music for the epic science fantasy space opera saga and media franchise 'Star Wars'? 
composer	Who composed the music for Gone Girl? 
composer	Who made the music for Inception? 
composer	Who composed the music for the original Twin Peaks series? 
composer	Who composed the music for Unbreakable? 
composer	Who composed the music for Lord of The Rings: The Fellowship of the Ring? 
composer	Who was the composer of the music in Inception 
composer	Who composed the music for the netflix original movie 'Polar'? 
composer	Who composed the music for Dunkirk? 
composer	Who composed the music for the movie "Interstellar"? 
director	Who directed A Star Is Born? 
director	Who directed The Prestige 
director	Who directed the 2018 biographical film about Queen? 
director	Who directed Fight Club? 
director	Who is the director of Love Actually? 
director	Who directed Lord of The Rings? 
director	Who directed Pulp Fiction? 
director	Who is the director of the movie Midsommar? 
director	Who directed Once Upon a Time in Hollywood? 
director	Who is the director of the movie Forrest Gump? 
director	Who directed The Shining? 
director	Who is the director of Pulp Fiction? 
director	Who directed The Dark Knight? 
director	Who was the director of Kimi no Na wa? 
director	Who was the director of the film Avatar? 
director	Who is the director of The Hangover? 
director	Who directed Bridge of Spies? 
director	Who directed the movie 8 1/2? 
director	Who directed James Bond: Skyfall? 
director	Who directed the first Shrek movie? 
director	Who is the director of Fury? 
director	Who directed the 1990 movie Tremors? 
director	Who directed Minari? 
director	Who directed photography for Gravity? 
director	Who directed The Room? 
director	Who directed The Sound of Music? 
director	Who are the directors of Iron man 
director	Who is the director of Doctor Strange in the Multiverse of Madness? 
director	Who directed In a World...? 
director	Who directed Inception? 
director	Who are the directors of the movie Avengers: Endgame? 
director	Who is the director of Coherence? 
director	Who is the director of Coherence? 
director	Who directed Kung Fu Panda 2? 
director	Who directed the movie "Pulp fiction"? 
director	Who directed the movie "Zootopia"? 
director	Who is the youngest film director of the World? 
director	Who directed Pulp Fiction? 
director	Who is the director of the movie "Midsommar"? 
director	Who are the directors of the movie "Captain America: The Winter Soldier"? 
director	Who are the directors of the Matrix? 
director	Who directed Tenet? 
director	Who is the director of Detective Conan: The Private Eyes' Requiem? 
director	Who directed the movie "How To Train Your Dragon"? 
director	Who directed Pulp Fiction? 
director	Who directed "Event Horizon" (1997)? 
director	Who was the director of The Hobbit trilogy? 
director	Who are the directors of Schindler's List? 
director	Who directed The Titanic? 
director	Who directed "Life is Beautiful"? 
director	Who was the director of Inception? 
director	Who is the director of Reservoir Dogs? 
director	Who is the director of the movie Interstellar? 
director	Who was the director of Skyfall? 
director	Who was the director of the 2020 movie Tenet? 
director	Who is the director of Anubis en de Wraak van Arghus? 
director	Who is the director of the film Avatar? 
director	Who is the director of Pulp Fiction and Inglourious Basterds? 
director	Who are the directors of The Matrix? 
director	Who was the director of photogrpahy for Memento? 
director	Who directed Independence Day 
director	Who directed The Room? 
director	Who directed the film "Titanic"? 
director	Who are the directors of the movie "The Matrix"? 
director	Who directed Whiplash? 
director	Who directed Parasite? 
